preferences,preferred_trip_type,budget_min,budget_max,preferred_group_size,accessibility_needs,dietary_restrictions,sustainability_preference,traveler_id
101,Adventure,800,2500,8,0,1,4,1
102,Cultural,1000,3000,6,0,0,3,2
103,Relaxation,1200,4000,2,0,2,5,3
104,Adventure,600,1800,10,0,0,2,4
105,Eco-tourism,900,2800,8,0,1,5,5
106,Cultural,1500,5000,4,1,0,3,6
107,Culinary,1000,3500,6,0,2,4,7
108,Wildlife,1200,3800,8,0,0,5,8
109,Beach,800,2200,2,0,0,2,9
110,Historical,1000,3000,10,0,1,3,10
111,Adventure,700,2000,6,0,0,4,11
112,Relaxation,2000,6000,2,0,0,1,12
113,Cultural,1100,3200,8,0,3,5,13
114,Wildlife,1300,4200,6,0,1,4,14
115,Eco-tourism,900,2600,4,0,2,5,15
116,Beach,1500,4500,2,0,0,3,16
117,Culinary,1200,3500,6,0,3,4,17
118,Historical,1000,2800,8,1,0,3,18
119,Adventure,800,2400,10,0,0,4,19
120,Cultural,1400,4000,4,0,1,5,20
121,Relaxation,1800,5000,2,0,0,2,21
122,Wildlife,1100,3300,8,0,2,5,22
123,Beach,900,2500,4,0,0,3,23
124,Eco-tourism,1000,3000,6,0,1,5,24
125,Culinary,1500,4500,8,0,3,4,25
126,Historical,1200,3600,10,1,0,3,26
127,Adventure,700,2100,6,0,0,4,27
128,Cultural,1000,3000,4,0,1,5,28
129,Relaxation,2200,6500,2,0,0,2,29
130,Wildlife,1300,3900,8,0,2,5,30
131,Beach,1100,3300,6,0,0,3,31
132,Eco-tourism,900,2700,4,0,1,5,32
133,Culinary,1400,4200,2,0,3,4,33
134,Historical,1000,3000,10,0,0,3,34
135,Adventure,800,2400,8,0,0,4,35
136,Cultural,1200,3600,6,1,1,3,36
137,Relaxation,1800,5400,2,0,0,2,37
138,Wildlife,1100,3300,4,0,2,5,38
139,Beach,900,2700,6,0,0,3,39
140,Eco-tourism,1000,3000,8,0,1,5,40
141,Culinary,1500,4500,10,0,3,4,41
142,Historical,1200,3600,4,0,0,3,42
143,Adventure,700,2100,6,0,0,4,43
144,Cultural,1100,3300,8,0,1,5,44
145,Relaxation,2000,6000,2,1,0,2,45
146,Wildlife,1300,3900,4,0,2,5,46
147,Beach,1000,3000,6,0,0,3,47
148,Eco-tourism,900,2700,8,0,1,5,48
149,Culinary,1400,4200,10,0,3,4,49
150,Historical,1100,3300,4,0,0,3,50
