room_type_id,room_type_name,max_occupancy,price_per_night,hotel_id
1,Standard,2,150,1
2,Deluxe,2,250,1
3,Suite,4,450,1
4,Standard,2,400,2
5,Deluxe,2,550,2
6,Presidential Suite,4,1200,2
7,Standard,2,120,3
8,Family Room,4,220,3
9,Executive Suite,2,350,3
10,Standard,2,180,4
11,Superior,2,250,4
12,Junior Suite,3,380,4
13,Deluxe,2,650,5
14,Executive,2,850,5
15,Royal Suite,4,1500,5
16,Standard,2,110,6
17,Superior,3,180,6
18,Deluxe Suite,4,280,6
19,Standard,2,190,7
20,Club Room,2,270,7
21,Executive Suite,4,450,7
22,Deluxe,2,800,8
23,Premier,2,950,8
24,Imperial Suite,4,1800,8
25,Standard,2,130,9
26,Family Room,4,230,9
27,Junior Suite,3,320,9
28,Standard,2,170,10
29,Superior,2,240,10
30,Panoramic Suite,4,420,10
31,Standard,2,580,11
32,Deluxe,2,750,11
33,Royal Suite,4,1400,11
34,Standard,2,140,12
35,Superior,3,200,12
36,Family Suite,5,340,12
37,Deluxe,2,290,13
38,Club Room,2,380,13
39,Alpine Suite,3,580,13
40,Standard,2,750,14
41,Deluxe,2,950,14
42,Presidential Suite,4,1900,14
43,Standard,2,125,15
44,Superior,3,195,15
45,Business Suite,2,320,15
46,Standard,2,220,16
47,Deluxe,2,340,16
48,Northern Lights Suite,4,650,16
49,Standard,2,580,17
50,Deluxe,2,780,17
